vehicle_id,Time [s],x[m],y[m],Speed [km/h],flw_type,f_error
35,17.550901,511758.2240884134,5026549.89179125,65.09079294387963,Heavy Vehicle,10.32009304979753
35,17.584268,511757.75972284074,5026550.124024587,65.15753087161555,Heavy Vehicle,10.32009304979753
35,17.617635,511757.31730787735,5026550.3502995595,65.22406476343514,Heavy Vehicle,10.32009304979753
35,17.651001,511756.86080264184,5026550.578613867,65.29039721241432,Heavy Vehicle,10.32009304979753
35,17.684368,511756.39621518645,5026550.810957819,65.3565307611757,Heavy Vehicle,10.32009304979753
35,17.717735,511755.9475760758,5026551.035350231,65.42246295818381,Heavy Vehicle,10.32009304979753
35,17.751102,511755.48686609115,5026551.265760948,65.48818804362193,Heavy Vehicle,10.32009304979753
35,17.784468,511755.0260808361,5026551.5062092,65.55371185089803,Heavy Vehicle,10.32009304979753
35,17.817835,511754.55919905426,5026551.734711253,65.61906000097484,Heavy Vehicle,10.32009304979753
35,17.851202,511754.09821981983,5026551.97525621,65.68426946070693,Heavy Vehicle,10.32009304979753
35,17.884569,511753.64513605344,5026552.211864641,65.74936686496616,Heavy Vehicle,10.32009304979753
35,17.917935,511753.18392459257,5026552.442525385,65.81436859165491,Heavy Vehicle,10.32009304979753
35,17.951302,511752.7125925075,5026552.6832462745,65.87928417123541,Heavy Vehicle,10.32009304979753
35,17.984669,511752.2591498499,5026552.920033642,65.94411800982056,Heavy Vehicle,10.32009304979753
35,18.018035,511751.79758150736,5026553.160872329,66.00886776705303,Heavy Vehicle,10.32009304979753
35,18.051402,511751.32190887444,5026553.413757332,66.07352942330849,Heavy Vehicle,10.32009304979753
35,18.084769,511750.8641421506,5026553.652700599,66.13809061235004,Heavy Vehicle,10.32009304979753
35,18.118136,511750.39226582483,5026553.893692836,66.20253738657456,Heavy Vehicle,10.32009304979753
35,18.151502,511749.9343235311,5026554.142723637,66.26685088159124,Heavy Vehicle,10.32009304979753
35,18.184869,511749.48030627635,5026554.379797488,66.3310073579178,Heavy Vehicle,10.32009304979753
35,18.218236,511749.0082402546,5026554.620884306,66.39497991920342,Heavy Vehicle,10.32009304979753
35,18.251603,511748.53617702867,5026554.861969717,66.4586847210771,Heavy Vehicle,10.32009304979753
35,18.284969,511748.05615880433,5026555.117021363,66.52203694906234,Heavy Vehicle,10.32009304979753
35,18.318336,511747.58417347237,5026555.358067948,66.58500817202176,Heavy Vehicle,10.32009304979753
35,18.351703,511747.1122504764,5026555.599083457,66.64756679028052,Heavy Vehicle,10.32009304979753
